datetimeCST,AphA,Hz,PF,PhVphA,VA,Var,W,DCV,DCA,DCW,Hz_mod,mod_BIN
2024-02-23 17:33:00-06:00,0.0,59.9976530612245,1.0,0.0,0.0,0.0,0.0,338.77142857142854,106.99591836734695,35059.88751020408,59.9976530612245,0.0
2024-02-23 17:34:00-06:00,0.0,59.99904081632653,1.0,0.0,0.0,0.0,0.0,332.72091836734694,120.37040816326532,39442.37344897959,59.99904081632653,0.0
2024-02-23 17:35:00-06:00,0.0,59.978367346938775,1.0,0.0,0.0,0.0,0.0,323.5214285714286,240.74081632653065,78884.74689795918,59.978367346938775,0.0
2024-02-23 17:36:00-06:00,0.0,60.00557142857143,1.0,0.0,0.0,0.0,0.0,310.9265306122449,133.74489795918367,43824.8593877551,60.00557142857143,0.0
2024-02-23 17:37:00-06:00,0.0,60.00183673469388,1.0,0.0,0.0,0.0,0.0,298.084693877551,213.9918367346939,70119.77502040815,60.00183673469388,0.0
2024-02-23 17:38:00-06:00,0.0,59.9815,1.0,0.0,0.0,0.0,0.0,289.682,131.07,42948.362199999996,59.9815,0.0
2024-02-23 17:39:00-06:00,0.0,60.00397959183674,1.0,0.0,0.0,0.0,0.0,291.17295918367347,227.36632653061227,74502.26095918367,60.00397959183674,0.0
2024-02-23 17:40:00-06:00,0.0,59.99110204081632,1.0,0.0,0.0,0.0,0.0,278.6974489795918,120.37040816326532,39442.37344897959,59.99110204081632,0.0
2024-02-23 17:41:00-06:00,0.0,59.99769387755102,1.0,0.0,0.0,0.0,0.0,267.30510204081634,187.24285714285713,61354.80314285714,59.99769387755102,0.0
2024-02-23 17:42:00-06:00,0.0,59.9934693877551,1.0,0.0,0.0,0.0,0.0,253.74948979591838,200.6173469387755,65737.28908163265,59.9934693877551,0.0
2024-02-23 17:43:00-06:00,0.0,60.001061224489796,1.0,0.0,0.0,0.0,0.0,229.23367346938778,133.74489795918367,43824.8593877551,60.001061224489796,0.0
2024-02-23 17:44:00-06:00,0.0,59.98314285714286,1.0,0.0,0.0,0.0,0.0,240.8826530612245,240.74081632653065,78884.74689795918,59.98314285714286,0.0
2024-02-23 17:45:00-06:00,0.0,59.98308,1.0,0.0,0.0,0.0,0.0,199.99099999999999,104.85600000000001,34358.68976,59.98308,0.0
2024-02-23 17:46:00-06:00,0.0,60.00477551020408,1.0,0.0,0.0,0.0,0.0,228.67857142857142,267.48979591836735,87649.7187755102,60.00477551020408,0.0
2024-02-23 17:47:00-06:00,0.0,59.99781632653061,1.0,0.0,0.0,0.0,0.0,173.53775510204082,106.99591836734695,35059.88751020408,59.99781632653061,0.0
2024-02-23 17:48:00-06:00,0.0,59.96236734693878,1.0,0.0,0.0,0.0,0.0,185.40612244897957,187.24285714285713,61354.80314285714,59.96236734693878,0.0
2024-02-23 17:49:00-06:00,0.0,59.98051020408163,1.0,0.0,0.0,0.0,0.0,174.70714285714286,187.24285714285713,61354.80314285714,59.98051020408163,0.0
2024-02-23 17:50:00-06:00,0.0,60.001400000000004,1.0,0.0,0.0,0.0,0.0,146.494,131.07,42948.362199999996,60.001400000000004,0.0
2024-02-23 17:51:00-06:00,0.0,59.964959183673464,1.0,0.0,0.0,0.0,0.0,165.91122448979593,213.9918367346939,70119.77502040815,59.964959183673464,0.0
2024-02-23 17:52:00-06:00,0.0,59.973673469387755,1.0,0.0,0.0,0.0,0.0,124.79693877551021,133.74489795918367,43824.8593877551,59.973673469387755,0.0
2024-02-23 17:53:00-06:00,0.0,59.98255102040816,1.0,0.0,0.0,0.0,0.0,138.4280612244898,200.6173469387755,65737.28908163265,59.98255102040816,0.0
2024-02-23 17:54:00-06:00,0.0,59.98857142857143,1.0,0.0,0.0,0.0,0.0,103.45969387755103,147.11938775510205,48207.345326530616,59.98857142857143,0.0
2024-02-23 17:55:00-06:00,0.0,59.99454,1.0,0.0,0.0,0.0,0.0,111.459,183.498,60127.70707999999,59.99454,0.0
2024-02-23 17:56:00-06:00,0.0,59.98326530612245,1.0,0.0,0.0,0.0,0.0,82.85102040816327,133.74489795918367,43824.8593877551,59.98326530612245,0.0
2024-02-23 17:57:00-06:00,0.0,59.984693877551024,1.0,0.0,0.0,0.0,0.0,97.69744897959184,173.8683673469388,56972.31720408163,59.984693877551024,0.0
2024-02-23 17:58:00-06:00,0.0,59.9951,1.0,0.0,0.0,0.0,0.0,100.146,183.498,60127.70707999999,59.9951,0.0
2024-02-23 17:59:00-06:00,0.0,59.99965306122449,1.0,0.0,0.0,0.0,0.0,93.81173469387757,173.8683673469388,56972.31720408163,59.99965306122449,0.0
2024-02-23 18:00:00-06:00,0.0,59.98530612244898,1.0,0.0,0.0,0.0,0.0,105.30357142857143,200.6173469387755,65737.28908163265,59.98530612244898,0.0
2024-02-23 18:01:00-06:00,0.0,59.969772727272726,1.0,0.0,0.0,0.0,0.0,86.36306818181819,163.8375,53685.452750000004,59.969772727272726,0.0
2024-02-23 18:02:00-06:00,0.0,59.97526,1.0,0.0,0.0,0.0,0.0,101.7385,196.605,64422.5433,59.97526,0.0
2024-02-23 18:03:00-06:00,0.0,59.98075510204081,1.0,0.0,0.0,0.0,0.0,76.88010204081633,147.11938775510205,48207.345326530616,59.98075510204081,0.0
2024-02-23 18:04:00-06:00,0.0,59.981428571428566,1.0,0.0,0.0,0.0,0.0,109.4265306122449,213.9918367346939,70119.77502040815,59.981428571428566,0.0
2024-02-23 18:05:00-06:00,0.0,60.00075510204081,1.0,0.0,0.0,0.0,0.0,56.218367346938784,106.99591836734695,35059.88751020408,60.00075510204081,0.8775510204081632
2024-02-23 18:06:00-06:00,0.0,59.99632653061225,1.0,0.0,0.0,0.0,0.0,135.64183673469387,240.74081632653065,78884.74689795918,59.99632653061225,1.0
2024-02-23 18:07:00-06:00,0.0,60.007265306122456,1.0,0.0,0.0,0.0,0.0,55.984693877551024,106.99591836734695,35059.88751020408,60.007265306122456,1.0
2024-02-23 18:08:00-06:00,0.0,60.0065306122449,1.0,0.0,0.0,0.0,0.0,122.29183673469389,213.9918367346939,70119.77502040815,60.0065306122449,1.0
2024-02-23 18:09:00-06:00,0.0,59.99686,1.0,0.0,0.0,0.0,0.0,54.864000000000004,104.85600000000001,34358.68976,59.99686,1.0
2024-02-23 18:10:00-06:00,0.0,59.99726530612245,1.0,0.0,0.0,0.0,0.0,108.94897959183673,213.9918367346939,70119.77502040815,59.99726530612245,1.0
2024-02-23 18:11:00-06:00,0.0,60.01526530612245,1.0,0.0,0.0,0.0,0.0,69.18061224489796,133.74489795918367,43824.8593877551,60.01526530612245,1.0
2024-02-23 18:12:00-06:00,0.0,60.02,1.0,0.0,0.0,0.0,0.0,113.29450000000001,222.81900000000002,73012.21573999999,60.02,1.0
2024-02-23 18:13:00-06:00,0.0,60.02055102040816,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,60.02055102040816,1.0
2024-02-23 18:14:00-06:00,0.0,60.02,1.0,0.0,0.0,0.0,0.0,128.80357142857142,254.11530612244897,83267.23283673469,60.02,1.0
2024-02-23 18:15:00-06:00,0.0,60.02102040816327,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,60.02102040816327,0.2857142857142857
2024-02-23 18:16:00-06:00,0.0,60.01514,1.0,0.0,0.0,0.0,0.0,132.86800000000002,235.92600000000002,77307.05196,60.01514,0.0
2024-02-23 18:17:00-06:00,0.0,60.016673469387754,1.0,0.0,0.0,0.0,0.0,62.55255102040817,120.37040816326532,39442.37344897959,60.016673469387754,0.0
2024-02-23 18:18:00-06:00,0.0,60.01,1.0,0.0,0.0,0.0,0.0,115.57704081632654,227.36632653061227,74502.26095918367,60.01,0.0
2024-02-23 18:19:00-06:00,0.0,60.01478,1.0,0.0,0.0,0.0,0.0,67.855,104.85600000000001,34358.68976,60.01478,0.0
2024-02-23 18:20:00-06:00,0.0,59.997734693877554,1.0,0.0,0.0,0.0,0.0,102.32091836734695,200.6173469387755,65737.28908163265,59.997734693877554,0.0
2024-02-23 18:21:00-06:00,0.0,59.980612244897955,1.0,0.0,0.0,0.0,0.0,82.43673469387755,160.49387755102043,52589.83126530612,59.980612244897955,0.0
2024-02-23 18:22:00-06:00,0.0,59.99238775510204,1.0,0.0,0.0,0.0,0.0,82.43673469387755,160.49387755102043,52589.83126530612,59.99238775510204,0.0
2024-02-23 18:23:00-06:00,0.0,60.012260000000005,1.0,0.0,0.0,0.0,0.0,87.3415,170.39100000000002,55832.870859999995,60.012260000000005,0.0
2024-02-23 18:24:00-06:00,0.0,60.01542857142857,1.0,0.0,0.0,0.0,0.0,89.06479591836735,173.8683673469388,56972.31720408163,60.01542857142857,0.0
2024-02-23 18:25:00-06:00,0.0,60.01632653061225,1.0,0.0,0.0,0.0,0.0,89.06479591836735,173.8683673469388,56972.31720408163,60.01632653061225,0.0
2024-02-23 18:26:00-06:00,0.0,60.01387755102041,1.0,0.0,0.0,0.0,0.0,82.43673469387755,160.49387755102043,52589.83126530612,60.01387755102041,0.0
2024-02-23 18:27:00-06:00,0.0,59.99434,1.0,0.0,0.0,0.0,0.0,100.3325,196.605,64422.5433,59.99434,0.0
2024-02-23 18:28:00-06:00,0.0,59.99230612244898,1.0,0.0,0.0,0.0,0.0,69.18061224489797,133.74489795918367,43824.8593877551,59.99230612244898,0.0
2024-02-23 18:29:00-06:00,0.0,59.99122448979592,1.0,0.0,0.0,0.0,0.0,122.2642857142857,213.9918367346939,70119.77502040815,59.99122448979592,0.0
2024-02-23 18:30:00-06:00,0.0,59.99904081632653,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,59.99904081632653,0.0
2024-02-23 18:31:00-06:00,0.0,60.00633333333333,1.0,0.0,0.0,0.0,0.0,132.87444444444446,233.01333333333335,76352.64391111111,60.00633333333333,0.0
2024-02-23 18:32:00-06:00,0.0,60.0115306122449,1.0,0.0,0.0,0.0,0.0,55.865306122448985,106.99591836734695,35059.88751020408,60.0115306122449,0.0
2024-02-23 18:33:00-06:00,0.0,59.994020408163266,1.0,0.0,0.0,0.0,0.0,108.94897959183673,213.9918367346939,70119.77502040815,59.994020408163266,0.0
2024-02-23 18:34:00-06:00,0.0,60.01183673469387,1.0,0.0,0.0,0.0,0.0,62.55255102040817,120.37040816326532,39442.37344897959,60.01183673469387,0.0
2024-02-23 18:35:00-06:00,0.0,59.98594,1.0,0.0,0.0,0.0,0.0,106.82800000000002,209.71200000000002,68717.37952,59.98594,0.0
2024-02-23 18:36:00-06:00,0.0,60.002102040816325,1.0,0.0,0.0,0.0,0.0,55.92448979591837,106.99591836734695,35059.88751020408,60.002102040816325,0.0
